Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Outlet_Establishment_Year,Item_Sales
CR07,85,Regular,Cracker,20,L002,Small,Micro Store B,2014,340
CR01,150,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,1925
CH03,50,High,Chicharon,20,L002,Small,Micro Store B,2014,720
NS11,500,Low,Nuts,100,S003,Small,Micro Store C,2016,3700
CR10,25,Regular,Cracker,5,V001,Medium,Micro Store - Main,2010,145
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,11340
CR06,45,Regular,Cracker,35,L002,Small,Micro Store B,2014,700
CH02,100,High,Chicharon,35,L002,Small,Micro Store B,2014,420
BI02,1660,Low,Biscuit,304,V001,Medium,Micro Store - Main,2010,8512
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,11655
BI01,2000,Low,Biscuit,310,V001,Medium,Micro Store - Main,2010,10850
NS09,500,Low,Nuts,85,L002,Small,Micro Store B,2014,5270
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,4340
NS13,150,Low,Nuts,75,S003,Small,Micro Store C,2016,2400
CR01,150,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,875
NS06,1000,Low,Nuts,200,L002,Small,Micro Store B,2014,6800
CR01,1000,Regular,Cracker,195,S003,Small,Micro Store C,2016,1950
BI02,1660,Low,Biscuit,304,S003,Small,Micro Store C,2016,9424
NS05,500,Low,Nuts,90,L002,Small,Micro Store B,2014,1080
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,4700
CH04,150,High,Chicharon,100,L002,Small,Micro Store B,2014,1300
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,665
NS04,500,Low,Nuts,85,S003,Small,Micro Store C,2016,4845
CR01,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,1960
BI03,1500,Low,Biscuit,290,L002,Small,Micro Store B,2014,10730
CR01,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,920
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,140
CH01,1000,High,Chicharon,190,V001,Medium,Micro Store - Main,2010,3230
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,4875
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,720
BI01,2000,Low,Biscuit,310,V001,Medium,Micro Store - Main,2010,4650
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,8280
NS04,500,Low,Nuts,85,L002,Small,Micro Store B,2014,1530
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,840
NS09,500,Low,Nuts,85,L002,Small,Micro Store B,2014,255
BI02,1660,Low,Biscuit,304,V001,Medium,Micro Store - Main,2010,7600
CR01,1000,Regular,Cracker,195,S003,Small,Micro Store C,2016,12480
BR09,60,Low,Bread,20,L002,Small,Micro Store B,2014,1240
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,4400
CR06,45,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,1015
CH08,500,High,Chicharon,100,L002,Small,Micro Store B,2014,4500
BR01,400,Low,Bread,125,L002,Small,Micro Store B,2014,3500
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,2900
CR01,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,720
NS13,150,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,375
CR01,150,Regular,Cracker,35,S003,Small,Micro Store C,2016,1155
CR01,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,4018
BI02,1660,Low,Biscuit,304,S003,Small,Micro Store C,2016,3344
BI01,2000,Low,Biscuit,310,V001,Medium,Micro Store - Main,2010,9920
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,3420
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,2100
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,2850
NS11,500,Low,Nuts,100,S003,Small,Micro Store C,2016,800
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,3600
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,3000
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,5850
NS13,150,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,4575
CR01,1000,Regular,Cracker,195,S003,Small,Micro Store C,2016,9945
BI02,1660,Low,Biscuit,304,L002,Small,Micro Store B,2014,16112
NS02,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,3400
CR01,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,780
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,8100
CR06,45,Regular,Cracker,35,S003,Small,Micro Store C,2016,1680
NS05,500,Low,Nuts,90,L002,Small,Micro Store B,2014,4140
CR01,150,Regular,Cracker,35,S003,Small,Micro Store C,2016,1890
CR07,85,Regular,Cracker,20,L002,Small,Micro Store B,2014,540
CH01,1000,High,Chicharon,190,S003,Small,Micro Store C,2016,6460
BI03,1500,Low,Biscuit,290,L002,Small,Micro Store B,2014,7830
NS06,1000,Low,Nuts,200,S003,Small,Micro Store C,2016,10200
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,4060
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,3135
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,2880
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,2560
NS11,500,Low,Nuts,100,L002,Small,Micro Store B,2014,1600
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,8410
CR06,45,Regular,Cracker,35,L002,Small,Micro Store B,2014,1505
CR01,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,2352
BI01,2000,Low,Biscuit,310,V001,Medium,Micro Store - Main,2010,12090
BR08,500,Low,Bread,125,L002,Small,Micro Store B,2014,8125
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,860
CR01,150,Regular,Cracker,35,L002,Small,Micro Store B,2014,1470
BR09,60,Low,Bread,20,V001,Medium,Micro Store - Main,2010,1000
NS09,500,Low,Nuts,85,L002,Small,Micro Store B,2014,4845
CR12,20,Regular,Cracker,5,L002,Small,Micro Store B,2014,190
CR01,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,500
BI02,1660,Low,Biscuit,304,L002,Small,Micro Store B,2014,7600
NS05,500,Low,Nuts,90,S003,Small,Micro Store C,2016,5220
BR03,450,Low,Bread,125,S003,Small,Micro Store C,2016,4750
NS04,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,3485
NS10,500,Low,Nuts,145,L002,Small,Micro Store B,2014,2320
BR02,480,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1250
NS07,500,Low,Nuts,200,S003,Small,Micro Store C,2016,4600
CR07,85,Regular,Cracker,20,L002,Small,Micro Store B,2014,580
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,4185
BR08,500,Low,Bread,125,S003,Small,Micro Store C,2016,250
BR09,60,Low,Bread,20,V001,Medium,Micro Store - Main,2010,1040
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,5125
BI02,1660,Low,Biscuit,304,L002,Small,Micro Store B,2014,3952
CH08,500,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,5300
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,1610
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,663
BI01,2000,Low,Biscuit,310,S003,Small,Micro Store C,2016,11780
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,10175
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,300
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,3625
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,4560
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,630
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,91
CR05,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,1980
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,180
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,448
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,5015
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,615
BR06,600,Low,Bread,125,S003,Small,Micro Store C,2016,3375
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,5415
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,4080
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,3600
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,5625
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,7650
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,1750
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,11840
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,5625
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,1764
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,3040
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,3250
CR08,1000,Regular,Cracker,150,S003,Small,Micro Store C,2016,4950
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,2960
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,4000
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,3000
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,315
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,1105
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,645
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,5225
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,435
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,3021
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,1280
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1140
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,6875
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,5000
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,4165
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,8880
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,848
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,3286
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,420
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,126
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,11100
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,5415
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,5605
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,329
CR05,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,9180
CR02,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,6174
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,4465
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,4125
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,224
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,930
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,4560
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,1875
BR02,480,Low,Bread,125,V001,Medium,Micro Store - Main,2010,7000
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,5200
CR02,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,3920
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,2320
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,6500
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,150
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,915
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,7500
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,1378
BR02,480,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6625
CH05,200,High,Chicharon,185,L002,Small,Micro Store B,2014,8325
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,4875
CR13,85,Regular,Cracker,290,V001,Medium,Micro Store - Main,2010,15370
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,448
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,810
CR13,85,Regular,Cracker,290,V001,Medium,Micro Store - Main,2010,6380
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,1375
CR05,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,2880
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,12470
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,5365
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,5200
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,690
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,330
CR05,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,11700
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,210
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,392
CR06,45,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,735
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,9720
NS09,500,Low,Nuts,85,S003,Small,Micro Store C,2016,1275
NS09,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,1190
CH04,150,High,Chicharon,100,S003,Small,Micro Store C,2016,2600
CR01,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,2254
BR07,600,Low,Bread,125,L002,Small,Micro Store B,2014,4375
CR01,1000,Regular,Cracker,195,V001,Medium,Micro Store - Main,2010,5460
CH03,50,High,Chicharon,20,V001,Medium,Micro Store - Main,2010,1240
BR06,600,Low,Bread,125,S003,Small,Micro Store C,2016,6625
CR09,700,Regular,Cracker,140,L002,Small,Micro Store B,2014,8400
BR08,500,Low,Bread,125,S003,Small,Micro Store C,2016,4000
CH08,500,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,5200
CR12,20,Regular,Cracker,5,S003,Small,Micro Store C,2016,70
CR06,45,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,1190
CH02,100,High,Chicharon,35,L002,Small,Micro Store B,2014,2135
CR11,25,Regular,Cracker,10,S003,Small,Micro Store C,2016,250
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,1750
BI02,1660,Low,Biscuit,304,V001,Medium,Micro Store - Main,2010,14592
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,735
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,295
NS02,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,4165
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,6500
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,585
NS05,500,Low,Nuts,90,L002,Small,Micro Store B,2014,3690
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,7105
NS07,500,Low,Nuts,200,L002,Small,Micro Store B,2014,10400
BR09,60,Low,Bread,20,V001,Medium,Micro Store - Main,2010,980
NS06,1000,Low,Nuts,200,S003,Small,Micro Store C,2016,6400
CH01,1000,High,Chicharon,190,L002,Small,Micro Store B,2014,11780
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,4750
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,3420
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,2700
CH06,150,High,Chicharon,90,L002,Small,Micro Store B,2014,4860
CR01,85,Regular,Cracker,20,L002,Small,Micro Store B,2014,80
NS11,500,Low,Nuts,100,L002,Small,Micro Store B,2014,1100
NS09,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,1360
CR01,150,Regular,Cracker,35,S003,Small,Micro Store C,2016,1260
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,1600
CR01,1000,Regular,Cracker,195,V001,Medium,Micro Store - Main,2010,9750
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,2375
NS12,500,Low,Nuts,75,L002,Small,Micro Store B,2014,1125
CH03,50,High,Chicharon,20,V001,Medium,Micro Store - Main,2010,840
CR07,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,200
NS09,500,Low,Nuts,85,L002,Small,Micro Store B,2014,4675
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,2500
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,215
CR06,45,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,1050
BR07,600,Low,Bread,125,L002,Small,Micro Store B,2014,2000
NS04,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,2805
CH02,100,High,Chicharon,35,L002,Small,Micro Store B,2014,280
BR03,450,Low,Bread,125,S003,Small,Micro Store C,2016,5875
BR09,60,Low,Bread,20,L002,Small,Micro Store B,2014,200
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,2332
CH06,150,High,Chicharon,90,S003,Small,Micro Store C,2016,3330
BR01,400,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6125
CR01,1000,Regular,Cracker,180,L002,Small,Micro Store B,2014,6840
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,8235
BR08,500,Low,Bread,125,L002,Small,Micro Store B,2014,5875
CH08,500,High,Chicharon,100,S003,Small,Micro Store C,2016,1500
BR06,600,Low,Bread,125,L002,Small,Micro Store B,2014,1125
CR11,25,Regular,Cracker,10,L002,Small,Micro Store B,2014,140
CR12,20,Regular,Cracker,5,S003,Small,Micro Store C,2016,170
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,1040
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,2940
NS13,150,Low,Nuts,75,S003,Small,Micro Store C,2016,2475
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,6900
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,7625
CH04,150,High,Chicharon,100,L002,Small,Micro Store B,2014,1800
CR01,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,220
NS11,500,Low,Nuts,100,S003,Small,Micro Store C,2016,5400
NS07,500,Low,Nuts,200,S003,Small,Micro Store C,2016,9600
CR01,150,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,1890
NS10,500,Low,Nuts,145,L002,Small,Micro Store B,2014,9425
BI02,1660,Low,Biscuit,304,V001,Medium,Micro Store - Main,2010,17328
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,2000
BI01,2000,Low,Biscuit,310,L002,Small,Micro Store B,2014,16740
CR01,1000,Regular,Cracker,195,L002,Small,Micro Store B,2014,390
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,7600
CH06,150,High,Chicharon,90,S003,Small,Micro Store C,2016,5670
CR01,85,Regular,Cracker,20,L002,Small,Micro Store B,2014,40
BR09,60,Low,Bread,20,V001,Medium,Micro Store - Main,2010,960
CR06,45,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,1330
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,2915
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,301
BI03,1500,Low,Biscuit,290,L002,Small,Micro Store B,2014,7540
CR10,25,Regular,Cracker,5,V001,Medium,Micro Store - Main,2010,95
BI02,1660,Low,Biscuit,304,S003,Small,Micro Store C,2016,14592
NS10,500,Low,Nuts,145,L002,Small,Micro Store B,2014,8700
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,832
CR12,20,Regular,Cracker,5,S003,Small,Micro Store C,2016,265
BR02,480,Low,Bread,125,L002,Small,Micro Store B,2014,7250
CH02,100,High,Chicharon,35,S003,Small,Micro Store C,2016,1610
CR11,25,Regular,Cracker,10,V001,Medium,Micro Store - Main,2010,360
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,9435
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,7420
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,510
CH08,500,High,Chicharon,100,L002,Small,Micro Store B,2014,3200
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,4860
NS04,500,Low,Nuts,85,L002,Small,Micro Store B,2014,4675
BR03,450,Low,Bread,125,V001,Medium,Micro Store - Main,2010,4875
BR07,600,Low,Bread,125,S003,Small,Micro Store C,2016,250
CH03,50,High,Chicharon,20,L002,Small,Micro Store B,2014,820
BI01,2000,Low,Biscuit,310,S003,Small,Micro Store C,2016,12400
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,4200
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,4655
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,3570
CR07,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,1280
CR01,150,Regular,Cracker,35,L002,Small,Micro Store B,2014,140
NS05,500,Low,Nuts,90,S003,Small,Micro Store C,2016,4140
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,5850
CH01,1000,High,Chicharon,190,V001,Medium,Micro Store - Main,2010,5890
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,6500
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,6750
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,6120
BR08,500,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2500
NS13,150,Low,Nuts,75,L002,Small,Micro Store B,2014,3750
CR01,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,490
CR01,150,Regular,Cracker,35,L002,Small,Micro Store B,2014,630
CR09,700,Regular,Cracker,140,L002,Small,Micro Store B,2014,6860
CR01,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,2352
BI02,1660,Low,Biscuit,304,S003,Small,Micro Store C,2016,6080
CR01,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,3234
BI01,2000,Low,Biscuit,310,L002,Small,Micro Store B,2014,15190
CR12,20,Regular,Cracker,5,L002,Small,Micro Store B,2014,305
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,3420
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,2240
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,3375
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,10730
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,3705
NS02,500,Low,Nuts,85,L002,Small,Micro Store B,2014,4335
CH04,150,High,Chicharon,100,S003,Small,Micro Store C,2016,1700
CR02,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,3822
BR01,400,Low,Bread,125,L002,Small,Micro Store B,2014,3750
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,7770
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,4125
CR13,85,Regular,Cracker,290,L002,Small,Micro Store B,2014,17110
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,336
NS05,500,Low,Nuts,90,L002,Small,Micro Store B,2014,3600
CR05,1000,Regular,Cracker,180,L002,Small,Micro Store B,2014,5220
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,4800
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,3625
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,3360
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1045
BR06,600,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6750
BI03,1500,Low,Biscuit,290,L002,Small,Micro Store B,2014,18850
BR08,500,Low,Bread,125,V001,Medium,Micro Store - Main,2010,3625
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,3074
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,4240
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,7000
NS02,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,5440
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,4350
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,98
CR05,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,5940
NS10,500,Low,Nuts,145,L002,Small,Micro Store B,2014,2610
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,7695
CR09,700,Regular,Cracker,140,V001,Medium,Micro Store - Main,2010,6020
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,5875
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,14500
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,3680
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,7625
BR01,400,Low,Bread,125,V001,Medium,Micro Store - Main,2010,7000
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,5390
CR05,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,10620
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,250
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,2125
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6625
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,5250
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,6125
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,12180
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,1060
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,5125
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,5375
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,4750
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,2100
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,1113
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,2703
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2375
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,266
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,6125
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,5320
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,2945
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,7750
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,900
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,385
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,4240
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,2014
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,17400
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,6625
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,4505
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,5875
CR10,25,Regular,Cracker,5,V001,Medium,Micro Store - Main,2010,175
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,133
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,2565
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,1749
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,3234
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,285
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,7000
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,5250
CH06,150,High,Chicharon,90,V001,Medium,Micro Store - Main,2010,3690
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,735
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,3250
